method,question_id,category,question,expected_source_ids,retrieved_ids,recall@1,recall@3,recall@5,precision@5,mrr,ndcg@5
CivicRAG,nid_requirement_age,documents,I am 21 years old and do not have an NID card. Can I apply with my birth registration?,nid_requirement_age,"nid_requirement_age,required_documents_general,application_existing_mrp,lost_passport_number,application_mistakes_submitted",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,nid_update_passport,documents,I updated my NID information. How do I update my passport accordingly?,nid_update_passport,"nid_update_passport,lost_passport_number,documents_collect_passport,documents_data_changed,application_mistakes_submitted",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,nid_update_passport,documents,I updated my NID information. How do I update my passport accordingly?,nid_update_passport,"nid_update_passport,documents_data_changed,application_mistakes_submitted,lost_passport_number,documents_collect_passport",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,collection_minors,collection,Who can collect a passport on behalf of a minor?,collection_minors,"collection_minors,documents_collect_passport,photos_required,validity_under_18,delivery_different_city",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,collection_minors,collection,Who can collect a passport on behalf of a minor?,collection_minors,"collection_minors,documents_collect_passport,validity_under_18,delivery_lost_slip,photos_required",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,collection_printing_error,collection,I found a printing error in my newly received passport. What should I do?,collection_printing_error,"collection_printing_error,application_mistakes_submitted,delivery_lost_slip,documents_collect_passport,delay_reasons",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,collection_printing_error,collection,I found a printing error in my newly received passport. What should I do?,collection_printing_error,"collection_printing_error,application_mistakes_submitted,documents_collect_passport,status_pending_backend,payment_issues",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,status_email_no_sms,collection,I received an email notification to collect my passport but no SMS. Can I still collect it?,status_email_no_sms,"status_email_no_sms,delivery_lost_slip,account_activation_email,account_no_email,process_step_5",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,status_email_no_sms,collection,I received an email notification to collect my passport but no SMS. Can I still collect it?,status_email_no_sms,"status_email_no_sms,delivery_different_city,application_mrp_validity_cancel,account_no_email,account_change_mobile",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,lost_passport_number,lost passport,I lost my e-Passport and don't remember my passport number. How can I find it?,lost_passport_number,"lost_passport_number,application_address_changed,application_mistakes_submitted,delivery_lost_slip,account_change_mobile",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,lost_passport_number,lost passport,I lost my e-Passport and don't remember my passport number. How can I find it?,lost_passport_number,"lost_passport_number,delivery_lost_slip,account_change_mobile,application_mistakes_submitted,nid_update_passport",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,official_passport_prl,official passport,Can I use my official passport during my LPR/PRL period?,official_passport_prl,"official_passport_prl,required_documents_retired_govt,delay_reasons,application_mrp_validity_cancel,documents_data_changed",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,official_passport_prl,official passport,Can I use my official passport during my LPR/PRL period?,official_passport_prl,"official_passport_prl,documents_data_changed,application_mrp_form,application_mrp_validity_cancel,required_documents_retired_govt",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,delay_reasons,delays,What are common reasons for passport processing delays?,delay_reasons,"delay_reasons,status_pending_backend,delivery_timeframes,application_mistakes_submitted,collection_printing_error",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,delay_reasons,delays,What are common reasons for passport processing delays?,delay_reasons,"delay_reasons,appointment_schedule,appointment_no_slot,status_pending_backend,delivery_timeframes",1.0,1.0,1.0,0.2,1.0,1.0
Simple RAG,photo_attestation,application,Do I need to attest my photograph for the e-Passport?,photo_attestation,"photo_attestation,photos_required,required_documents_general,documents_data_changed,required_documents_retired_govt",1.0,1.0,1.0,0.2,1.0,1.0
CivicRAG,photo_attestation,application,Do I need to attest my photograph for the e-Passport?,photo_attestation,"photo_attestation,photos_required,required_documents_retired_govt,required_documents_general,documents_data_changed",1.0,1.0,1.0,0.2,1.0,1.0
